time_stamp, average time, incremental time, search time,fov check time, total time, alpha_bal, alpha_del
1590192503.40028691,0.00847919,0.00387635,0.00000503,60829.00000000,0.01459059,0.000000,0.000000
1590192503.50012708,0.00848059,0.00343281,0.00000481,60830.00000000,0.01401463,0.000000,0.000000
1590192503.60044694,0.00848138,0.00329215,0.00000396,60844.00000000,0.01162922,0.000000,0.000000
1590192503.70028687,0.00848244,0.00363379,0.00000393,60868.00000000,0.01267827,0.000000,0.000000
1590192503.80012703,0.00848289,0.00275773,0.00000351,60871.00000000,0.01025261,0.000000,0.000000
1590192503.90044689,0.00848386,0.00367064,0.00000384,60896.00000000,0.01234603,0.000000,0.000000
1590192504.00030398,0.00848490,0.00405425,0.00000370,60914.00000000,0.01260313,0.000000,0.000000
1590192504.10014391,0.00848609,0.00342039,0.00000456,60935.00000000,0.01318743,0.000000,0.000000
1590192504.20046377,0.00848672,0.00299315,0.00000411,60904.00000000,0.01099229,0.000000,0.000000
1590192504.30030394,0.00848815,0.00346629,0.00000507,60934.00000000,0.01416704,0.000000,0.000000
1590192504.40014386,0.00848927,0.00290874,0.00000481,60965.00000000,0.01292947,0.000000,0.000000
1590192504.50046396,0.00849018,0.00245471,0.00000455,60931.00000000,0.01210214,0.000000,0.000000
1590192504.60030389,0.00849121,0.00350194,0.00000414,60954.00000000,0.01255096,0.000000,0.000000
1590192504.70014381,0.00849226,0.00345545,0.00000451,60967.00000000,0.01267792,0.000000,0.000000
1590192504.80046391,0.00849302,0.00315193,0.00000374,60991.00000000,0.01151046,0.000000,0.000000
1590192504.90030384,0.00849338,0.00246133,0.00000341,59958.00000000,0.00993315,0.000000,0.000000
1590192505.00016093,0.00849401,0.00331204,0.00000363,59966.00000000,0.01097387,0.000000,0.000000
1590192505.10048103,0.00849553,0.00380117,0.00000489,59953.00000000,0.01452885,0.000000,0.000000
1590192505.20032096,0.00849649,0.00250830,0.00000452,59975.00000000,0.01231093,0.000000,0.000000
1590192505.30016112,0.00849817,0.00406224,0.00000469,60010.00000000,0.01517623,0.000000,0.000000
1590192505.40048099,0.00850027,0.00424898,0.00000533,60057.00000000,0.01686810,0.000000,0.000000
1590192505.50032091,0.00850132,0.00342663,0.00000468,60062.00000000,0.01268447,0.000000,0.000000
1590192505.60016108,0.00850209,0.00338755,0.00000378,60058.00000000,0.01154332,0.000000,0.000000
1590192505.70048094,0.00850294,0.00374869,0.00000348,60097.00000000,0.01187752,0.000000,0.000000
1590192505.80032110,0.00850452,0.00333260,0.00000512,60137.00000000,0.01480077,0.000000,0.000000
1590192505.90016103,0.00850608,0.00323351,0.00000540,60149.00000000,0.01473097,0.000000,0.000000
1590192506.00049782,0.00850735,0.00351922,0.00000493,60139.00000000,0.01357088,0.000000,0.000000
1590192506.10033798,0.00850812,0.00347806,0.00000369,60140.00000000,0.01155281,0.000000,0.000000
1590192506.20017791,0.00850913,0.00247649,0.00000394,60159.00000000,0.01255966,0.000000,0.000000
1590192506.30001783,0.00850961,0.00229735,0.00000403,60182.00000000,0.01040083,0.000000,0.000000
1590192506.40033793,0.00851041,0.00330295,0.00000386,60214.00000000,0.01171482,0.000000,0.000000
1590192506.50017786,0.00851109,0.00328528,0.00000360,60236.00000000,0.01120589,0.000000,0.000000
